condition,i,j,cosine
sparse,0,1,0.10908424854278564
sparse,0,2,0.12805497646331787
sparse,0,3,0.08369266986846924
sparse,0,4,1.000000238418579
sparse,0,5,0.1370055228471756
sparse,0,6,0.10848750174045563
sparse,0,7,0.1177099347114563
sparse,0,8,1.000000238418579
sparse,0,9,0.10115122050046921
sparse,0,10,0.0888502448797226
sparse,0,11,1.000000238418579
sparse,0,12,0.11026038229465485
sparse,0,13,0.0411575585603714
sparse,0,14,0.10040321201086044
sparse,0,15,0.0689639151096344
sparse,0,16,0.10801630467176437
sparse,0,17,0.08226725459098816
sparse,0,18,0.08057644963264465
sparse,0,19,0.04744820296764374
sparse,0,20,0.09150318801403046
sparse,0,21,0.11701734364032745
sparse,0,22,0.11943024396896362
sparse,0,23,0.10557190328836441
sparse,0,24,1.000000238418579
sparse,0,25,0.11746442317962646
sparse,0,26,0.10101272910833359
sparse,0,27,0.11939298361539841
sparse,0,28,0.08108936250209808
sparse,0,29,0.14297153055667877
sparse,1,2,0.6413183212280273
sparse,1,3,0.8654665350914001
sparse,1,4,0.10908424854278564
sparse,1,5,0.9060016870498657
sparse,1,6,0.8824361562728882
sparse,1,7,0.8451939225196838
sparse,1,8,0.10908424854278564
sparse,1,9,0.897077739238739
sparse,1,10,0.8851305246353149
sparse,1,11,0.10908424854278564
sparse,1,12,0.9259475469589233
sparse,1,13,0.8169416785240173
sparse,1,14,0.8501149415969849
sparse,1,15,0.9277087450027466
sparse,1,16,0.9050824642181396
sparse,1,17,0.9077088832855225
sparse,1,18,0.620894193649292
sparse,1,19,0.9136477708816528
sparse,1,20,0.858086109161377
sparse,1,21,0.9086173176765442
sparse,1,22,0.9202153086662292
sparse,1,23,0.8614960312843323
sparse,1,24,0.10908424854278564
sparse,1,25,0.9270669221878052
sparse,1,26,0.8706053495407104
sparse,1,27,0.932136595249176
sparse,1,28,0.8805778622627258
sparse,1,29,0.9095852375030518
sparse,2,3,0.6445198655128479
sparse,2,4,0.12805497646331787
